2510 Restaurant,restaurant,2510 Stewart Ave,Wausau,715-845-2510,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
4 Father's Pub,bar,1724 Merrill Ave,Wausau,715-841-0035,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Arrow Sports Bar & Grill,bar,6202 Schofield Ave,Schofield,715-359-2363,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Back When Cafe,restaurant,606 N 3rd St,Wausau,715-848-5668,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
BB Jacks Pizza & Sandwich Lounge,restaurant,900 Golf Club Rd,Wausau,715-675-2460,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Blissful Bites & Brunch,restaurant,1490 County Rd XX,Rothschild,715-393-4409,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Carmelo's Italian Restaurant,restaurant,3607 N Mountain Rd,Wausau,715-845-5570,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating. 4th in the 2026 reader poll.",FALSE
Cassel Bar & Grill,bar,130665 County Road N,Marathon City,715-352-3701,,"haddock, perch, shrimp",10,20,German potato salad (family recipe),Fri from 11 AM (confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating. Runner-up, 2026 reader poll. Haddock comes baked or fried.",FALSE
Cedar Creek Grill House,restaurant,1000 Imperial Ave,Rothschild,715-355-9200,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Cheeks Bar & Grill,bar,158241 E Wausau Ave,Wausau,715-393-4026,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating. Tied 6th in the 2026 reader poll.",FALSE
Clubhouse Bar & Grill,bar,R13085 County Rd N,Ringle,715-842-1913,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Day Break Bar & Grill,bar,5307 Westfair Ave,Schofield,715-298-1046,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Day's Bowl-A-Dome,bar,1715 Stewart Ave,Wausau,715-848-2292,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Denmar Tavern,bar,601 W Thomas St,Wausau,715-298-3131,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Eagle's Club,vfw_legion,1703 S 3rd Ave,Wausau,715-845-4795,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating. Fraternal club - closest venue_type is vfw_legion; review.",FALSE
Era Cafe,restaurant,151523 County Rd NN,Wausau,715-551-1172,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Funny Farm Bar & Grill,bar,4198 County Rd X,Mosinee,715-295-6695,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Gorski's,restaurant,450 Orbiting Dr,Mosinee,715-693-4001,https://gorskiswi.com,"cod, walleye, perch, shrimp",10,20,,Fri 7 AM-8 PM (confirm fry hours),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating. Homemade fish fry.",FALSE
Hammer Down Bar,bar,216050 County Rd B,Mosinee,715-693-2335,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Hatley Hangout,bar,208 Clark St,Hatley,715-446-5006,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating. 9th in the 2026 reader poll.",FALSE
Hiawatha Sports Bar,bar,713 Grant St,Wausau,715-298-1061,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Hoehn's Huddle Sports Bar & Grill,bar,840 Grand Ave,Schofield,715-298-3225,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Hog Creek Bar & Grill,bar,143203 State Hwy 153,Mosinee,715-693-7222,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating. 10th in the 2026 reader poll.",FALSE
Homestead Inn,restaurant,8507 State Hwy 52,Wausau,715-842-8396,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Kelly Club,supper_club,4810 Ross Ave,Schofield,715-359-6307,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Knowlton House Distillery,restaurant,204575 County Rd DB,Mosinee,715-693-0099,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Lisa's at Lakeside,restaurant,214857 County Rd Y,Hatley,715-255-4029,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Loading Zone Eatery,bar,157024 E Hamilton St,Wausau,715-845-9585,https://www.theloadingzone.biz,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating. Winner, 2026 reader poll. Friday menu posted on website.",FALSE
Log Cabin Restaurant,restaurant,1522 Metro Dr,Schofield,715-359-3669,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Milwaukee Burger Company,restaurant,2200 Stewart Ave,Wausau,715-298-9371,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Mint Cafe,restaurant,422 3rd St,Wausau,715-845-5879,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Nevermore on Third,bar,1206 N 3rd St,Wausau,715-298-0028,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Norm's,bar,707 Grand Ave,Rothschild,715-298-6000,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Oliva's at Gulliver's Landing,restaurant,151701 Gadwall Ln,Wausau,715-393-4040,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Palms Supper Club,supper_club,5912 Business Hwy 51 S,Weston,715-359-2200,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating. 8th in the 2026 reader poll.",FALSE
Papillon's,bar,1041 E Grand Ave,Rothschild,715-359-9417,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Pinewood Supper Club,supper_club,1208 Half Moon Lake Dr,Mosinee,715-693-3180,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Pit Stop Bar & Grill,bar,1024 Western Ave,Mosinee,715-693-3636,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Richard's Restaurant & Bar,restaurant,5305 N 32nd Ave,Wausau,715-675-7070,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating. Known for the Poor Man's fish fry.",FALSE
Rick & Becky's Sunrise Bar,bar,H12950 State Hwy 52,Wausau,715-581-8237,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Salty Bones,bar,145727 W State Hwy 153,Mosinee,715-814-1655,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Sconni's Alehouse & Eatery,bar,1239 Schofield Ave,Schofield,715-241-7665,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
The Bar - Wausau,bar,10302 Market St,Rothschild,715-355-7001,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
The Chatterbox Bar,bar,102 S 2nd Ave,Wausau,715-842-3059,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
The Garage,bar,152501 Morning Glory Ln,Wausau,715-393-4495,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
The Mill Yard,bar,238532 County Rd W,Wausau,715-298-0923,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
The Red Retriever Bar & Grill,bar,1578 N Shore Dr,Hatley,715-446-2190,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Tine & Cellar,restaurant,3806 Schofield Ave,Weston,715-841-0080,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Trailside Sports Bar & Grill,bar,8101 Schofield Ave,Weston,715-241-8999,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating. 5th in the 2026 reader poll.",FALSE
Trails End Bar & Lounge,bar,3901 Sherman Rd,Wausau,715-848-2000,,"haddock, perch, walleye",10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating. 3rd in the 2026 reader poll. Beer-battered haddock, fish tacos, and a Finnish-style baked haddock.",FALSE
Tri-City Family Restaurant,restaurant,525 Grand Ave,Schofield,715-359-9596,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Treu's Tic Toc,bar,1201 W Thomas St,Wausau,715-848-2465,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Two's Company Restaurant & Lounge,restaurant,213 Main St,Mosinee,715-693-3090,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Wausau Mine,restaurant,3904 Stewart Ave,Wausau,715-845-7304,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Wausau on Water,bar,1300 N River Dr,Wausau,715-298-6012,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Westsider Diner & Lounge,restaurant,628 N 3rd Ave,Wausau,715-663-3663,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Wiggly Field,bar,2005 Schofield Ave,Schofield,715-359-5864,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
